Condition,Remedy
pneumothorax,Consult doctor immediately
de quervain disease,Wear a thumb spica splint
fracture of the vertebra,Consult doctor immediately
human immunodeficiency virus infection (hiv),Consult doctor immediately
mumps,Consult doctor immediately; rest and hydrate
subarachnoid hemorrhage,Consult doctor immediately
acute fatty liver of pregnancy (aflp),Consult doctor immediately
ectropion,Use lubricating eye drops to prevent dryness
scar,Apply silicone gel sheets and massage the area regularly
lactose intolerance,Use lactase enzyme supplements before dairy
eustachian tube dysfunction (ear disorder),Try yawning or swallowing
appendicitis,Consult doctor immediately
graves disease,Consult doctor immediately
dissociative disorder,Consult doctor immediately
open wound of the face,Clean with water and see doctor for stitches
dislocation of the vertebra,Consult doctor immediately
phimosis,Practice gentle stretching as advised
hyperemesis gravidarum,Consult doctor immediately
pregnancy,Take prenatal vitamins and attend all appointments
thalassemia,Consult doctor immediately
placenta previa,Consult doctor immediately
epidural hemorrhage,Consult doctor immediately
septic arthritis,Consult doctor immediately
athlete's foot,Apply antifungal powder and keep feet dry
pleural effusion,Consult doctor immediately
aphakia,Consult doctor immediately
vulvar disorder,Use plain water for washing and wear cotton
sialoadenitis,Drink plenty of water and use warm compresses
gynecomastia,Consult doctor immediately
urinary tract infection,Drink plenty of water and consult doctor
histoplasmosis,Consult doctor immediately
erythema multiforme,Consult doctor immediately
scoliosis,Maintain good posture and perform core exercises
bunion,Wear wide-toed shoes and use bunion pads
arrhythmia,Consult doctor immediately
trigeminal neuralgia,Consult doctor immediately
ankylosing spondylitis,Perform regular physical therapy and stretching
peripheral nerve disorder,Consult doctor immediately
sebaceous cyst,Apply a warm compress; do not squeeze
poisoning due to antipsychotics,Consult doctor immediately
neurosis,Practice mindfulness and stress management
prostate cancer,Consult doctor immediately
cerebral edema,Consult doctor immediately
dislocation of the finger,Consult doctor immediately
birth trauma,Consult doctor immediately
chronic pancreatitis,Eat a low-fat diet and strictly avoid alcohol
hematoma,Apply ice to the area to reduce swelling
carcinoid syndrome,Consult doctor immediately
open wound of the head,Consult doctor immediately
seborrheic keratosis,Monitor for changes; consult doctor if irritated
burn,Run cool water over the area for 20 minutes
spontaneous abortion,Consult doctor immediately
genital herpes,Keep area clean and consult doctor for antivirals
adjustment reaction,Seek counseling and use stress-management
gallstone,Eat a low-fat diet and see a doctor
multiple sclerosis,Consult doctor immediately
zenker diverticulum,Consult doctor immediately
fracture of the pelvis,Consult doctor immediately
pneumoconiosis,Avoid further exposure to toxins and see a doctor
hyperlipidemia,Reduce saturated fats and increase activity
ulcerative colitis,Identify and avoid trigger foods (often dairy)
male genitalia infection,Consult doctor immediately
hpv,Consult doctor immediately for screening
angina,Rest immediately and consult a doctor
injury to the spinal cord,Consult doctor immediately (do not move)
nasal polyp,Use a saline nasal rinse to reduce irritation
lichen simplex,Apply fragrance-free moisturizer and stop scratching
trichiasis,Consult doctor immediately
acariasis,Consult doctor immediately
colorectal cancer,Consult doctor immediately
skin pigmentation disorder,Use broad-spectrum sunscreen
factitious disorder,Consult doctor immediately
lymphogranuloma venereum,Consult doctor immediately
galactorrhea of unknown cause,Consult doctor immediately
g6pd enzyme deficiency,Avoid fava beans and specific medications
nerve impingement near the shoulder,Practice posture exercises and use heat
toxoplasmosis,Consult doctor immediately
fibroadenoma,Consult doctor immediately for a diagnosis
open wound of the hand,Clean with soap and water and apply a bandage
missed abortion,Consult doctor immediately
diabetic ketoacidosis,Consult doctor immediately
granuloma inguinale,Consult doctor immediately
obsessive compulsive disorder (ocd),Use cognitive behavioral techniques
injury of the ankle,Apply RICE (Rest Ice Compression Elevation)
hyponatremia,Consult doctor immediately
stricture of the esophagus,Eat slowly and chew food into a paste
fracture of the ankle,Consult doctor immediately
soft tissue sarcoma,Consult doctor immediately
bone disorder,Consult doctor immediately
epilepsy,Consult doctor immediately; ensure home safety
personality disorder,Consult doctor immediately
shingles (herpes zoster),Apply cool compresses and keep rash covered
tourette syndrome,Consult doctor immediately
avascular necrosis,Consult doctor immediately
strep throat,Consult doctor for antibiotics; gargle salt water
spinocerebellar ataxia,Consult doctor immediately
osteomyelitis,Consult doctor immediately
sjogren syndrome,Use artificial tears and saliva substitutes
adhesive capsulitis of the shoulder,Perform gentle stretches daily
viral hepatitis,Consult doctor immediately
tonsillar hypertrophy,Consult doctor immediately
gastritis,Avoid alcohol spicy foods and NSAIDs
skin cancer,Consult doctor immediately
rheumatic fever,Consult doctor immediately
aphthous ulcer,Dab with a mixture of water and milk of magnesia
tonsillitis,Gargle with warm salt water and rest
intestinal cancer,Consult doctor immediately
rocky mountain spotted fever,Consult doctor immediately
stomach cancer,Consult doctor immediately
developmental disability,Consult doctor immediately
acute stress reaction,Practice grounding techniques and deep breathing
delirium,Consult doctor immediately
callus,Soak in warm water and gently use a pumice stone
guillain barre syndrome,Consult doctor immediately
lumbago,Apply a heating pad and do gentle core stretches
deviated nasal septum,Use a saline spray or nasal strips
hemangioma,Monitor for changes; see a doctor if it bleeds
peripheral arterial disease,Walk regularly and quit smoking
chronic back pain,Maintain a healthy weight and do core exercises
heart failure,Weigh daily and limit salt and fluid intake
conjunctivitis,Use a warm compress to clean discharge
herniated disk,Avoid heavy lifting and do physical therapy
rhabdomyolysis,Consult doctor immediately
breast infection (mastitis),Continue breastfeeding and use warm compresses
abdominal aortic aneurysm,Consult doctor immediately
pulmonary embolism,Consult doctor immediately
conduct disorder,Consult doctor immediately
mastectomy,Follow post-surgical care instructions
epididymitis,Rest and apply ice packs to the scrotum
premature rupture of amniotic membrane,Consult doctor immediately
molluscum contagiosum,Do not scratch or pick; keep them covered
necrotizing fasciitis,Consult doctor immediately
benign vaginal discharge (leukorrhea),Wear cotton and maintain hygiene
bladder obstruction,Consult doctor immediately
melanoma,Consult doctor immediately
cervical disorder,Consult doctor immediately
laryngitis,Rest the voice and drink warm soothing liquids
dyshidrosis,Apply heavy moisturizer and avoid skin irritants
poisoning due to opioids,Consult doctor immediately (Use Narcan)
diaper rash,Change diapers frequently and use barrier cream
lichen planus,Use fragrance-free soaps and avoid scratching
gastroduodenal ulcer,Avoid NSAIDs and limit alcohol
inguinal hernia,Consult doctor immediately
eczema,Use thick emollient creams immediately after bathing
asperger syndrome,Use social stories and visual schedules
mucositis,Rinse with a salt and baking soda solution
paronychia,Soak the finger in warm salt water three times daily
open wound of the jaw,Consult doctor immediately
white blood cell disease,Consult doctor immediately
kaposi sarcoma,Consult doctor immediately
spondylolisthesis,Perform core-strengthening exercises
pseudotumor cerebri,Consult doctor immediately
conjunctivitis due to virus,Use cool compresses; it will resolve
open wound of the nose,Apply pressure to stop bleeding and clean
